event_datetime_utc,source_name,source_url,source_type,claim_text,country,location_text,actor_1,actor_2,event_type,domain,severity_score,confidence_score,information_status,tags,last_updated_at
2026-01-02 11:00:00+00:00,GDELT,https://www.blic.rs/vesti/svet/rat-na-ulicama-irana-ima-mrtvih-situacija-na-ivici-ambisa-tramp-brutalno-preti/0tz0rph,news,"Rat na ulicama Irana , ima mrtvih : Situacija na ivici ambisa , Tramp brutalno preti",Iran,Iran,Iran,,other,other,3,0.6,unverified,['iran'],2026-03-27 09:12:32 UTC
2026-02-28 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-cruise-missiles-and-drones-launched-at-the-united-arab-emirates-between-february-28-2026-and-march-18-2026/,osint,"Iranian Ballistic Missiles, Cruise Missiles, and Drones Launched at the United Arab Emirates between February 28, 2026 and March 18, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['iran', 'drone', 'missile']",2026-03-27 09:12:32 UTC
2026-02-28 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-cruise-missiles-and-drones-launched-at-saudi-arabia-between-february-28-2026-and-march-18-2026/,osint,"Iranian Ballistic Missiles, Cruise Missiles, and Drones Launched at Saudi Arabia between February 28, 2026 and March 18, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['iran', 'drone', 'missile']",2026-03-27 09:12:32 UTC
2026-03-01 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-and-drones-launched-at-saudi-arabia-between-march-1-2026-and-march-20-2026/,osint,"Iranian Ballistic Missiles and Drones Launched at Saudi Arabia Between March 1, 2026 and March 20, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['iran', 'drone', 'missile']",2026-03-27 09:12:32 UTC
2026-03-04 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPclpkaVUtclYzU3BDdTF3TmM1bHFpSkZLNjJZRmtZS3k1aTN0UER5aVdhbGg2NGpESVFnUFJvdDVWYXNIS1lFWUtMdU1zVUJ5dXlrSmx5V1dJZDNycFRyYUJKLXZkVER3NGw3VVFEMmlIREdCMURYQ2swSTNkUHo0Ri1PNFNiS2JVbzBmVE1HV0dxdUVMdjNKeVh4LXNmYlhqT1czYktaUTJMMi01R2ZyUnI5Zk42STQ1LVBWblplbkdWNUNyR2ZTbFJ4LXc5OWlya2M5cdIB2wFBVV95cUxOejZtd1piLXhOZ2pBWERiV3hyMGRKMlRLRnZDd3U3Z1c0WWhqUWlZakI4ZUM3RVNSdnZ0NE0xc3BvZGNTN1hmREVla2N1U3paTlVJalNIRExacjN5cW5OMEY3eUczMWVHQ2VhZzh0Qk9jOGQ1RUVacWxqbG95bUpvb3VRejhvR0NleFB3aUpvYUQ1NnBLMHRlVEo2QjlBdS12My1Xd1pNSjlEa3I1cDQ2Y19mYWVPSmhVcFh6dXhHQ2NrTE44eUtHUEE0cUFFNHRwNkdmX0RhVkdUTGs?oc=5,news,Iran-Israel war: What has happened so far - The Hindu,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'war', 'israel']",2026-03-27 09:12:32 UTC
2026-03-07 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPLUR5NElJWFJjSVg4WXJFS2ljM1FXV1EtNTBnNUNtT3p3NDNNVTdNOEZXYnR0NDlRTnMyc09jNWFtWkQ1bE0wLVAzWlBtVzNYQkcwdlo4aEJfWEFkVHNIOHdiRXlvYU9RckFSYmx2MUw4TDBSY2FFTXBnRnR0Y1dROFZfUlAwZEw5dmRScFFSbldvMnV0MVJkQWlNbURYX1NTY3RRZXFBei1PVURNTHEzNTJYMzdUVHZWc0tIUGktYVZtMnd4UmFoMnV6VjRMaWZ4WnRORUVaaU9iYy01Skl4UEtNRdIB8AFBVV95cUxObFpzSmtBZ0tmeHVQbjY2RUdVZHdjUnVYRXB2aEtaZmVwUkpuNGkwQVJtWGlmOWNBbTYwNFFsamZQNndEdGFMOFE4LVlXYkpmdFFDdnFuekFSTUtGNFoydS0yc25QdUl4UXh0Ym5IdUFCWWQ4SzlkWlRwZ2hTZE5Ub3BVdmNUUjFNUHRCeEQwQzFGMXdrV0UxT0Y4NE5MTkh0TGRPeXFMSm8zc1VmRU05VVh5RE1mdmRGUGpJWnF4Y2hBbkpTcnp1aTVSN1RtLWNhTTAtbVJkY2pST29zMEhUQlZsLVhOSm9EZnNVRFBYQjk?oc=5,news,"Iran-Israel conflict heightens risks to India’s energy security, inflation and fiscal stability: Government review - Down To Earth",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'conflict', 'israel']",2026-03-27 09:12:32 UTC
2026-03-07 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMipgFBVV95cUxPcHA4SEYtM3RfMUkzNGVDeFdaVDFTb28xczB4ci1ZNjVHb09Bdzh2SW1pcXVQSEdyWWE0VEVLekQ5Uk1rc094aDJvZGNpYnhtd0ItMzdBTnJIWm90all0TkRLTDMzM3FoZ2ZKOUJoY0doVVJyYWljODIteThTSHJwRDJpNWVhTlFzSTZCc085d0pqUHNUaGFhRDJLeHZrb0hrUWhlNk5R0gGrAUFVX3lxTFA2NTh4NkptWkZRTFlyX1VXel9QSFZMM3VYTERTaGNfbVR0VDJVSGExY3VPcU5zRGhwOUN4bXUwSnV4bkVITjhkSE9OOENRc3NvOW1qUnJfYzVpLUtibEdSQjFZVG94S0xYZjBhZmFoZXBYbmlCaVpvcHFNbkJaUVBJaXZCYk5XeXlBb3VvQXk4dE9mejd5UHM5WV9idjRueENtQ0xxNzI0RzQxZw?oc=5,news,"Tehran pounded in week two of US-Israel war, Iran targets Israel - Al Jazeera",Iran,Tehran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'war', 'tehran', 'israel']",2026-03-27 09:12:32 UTC
2026-03-10 07:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMinwFBVV95cUxNWkJYckV1U051V0J0RXlsdVNIdDJBVkZROGp6aUstdWk3UFA4MEZGOTRqeVF5ZkZYZTJvaF95RWlzQTQzT3BYOTZ2LVBCN2VhemM1elpKOFhrVEJLVnFXN0VsaTZMV0k3WTFkRWlHNjVqWEgyVkI0Z0J2bm9wYmg3cXBRaUp3OWZzeTdCVG9SYjdPWS1PNUNLQW8tNjNJV1nSAaQBQVVfeXFMT2VTOHplSUtXMzZtRUxIVE1tczJVVUw4VUI5aUNXZngzdnR0Q1dERkpvNGM0d3FyQm00N3V3WGh4SEI3UC1qWHExeDhrX2JZNk54UC1jZ0w4TFdoQ2NJcDg1bHdGQXJRTjVWcWNYamxodHNKZTdpODlQdlA4Z3h1QW5OaFplMDN4d1lDa2tWbnFxalNXQkJneFBhN0FTV2dLR2xoZXo?oc=5,news,Iran war: What is happening on day 12 of US-Israel attacks? - Al Jazeera,Iran,Iran,Iran,Israel,other,military,8,0.5,unverified,"['iran', 'attack', 'war', 'israel']",2026-03-27 09:12:32 UTC
2026-03-11 07:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTkNHbTRsNmFqX1BHUXJVT29VdUFEUk1UNXZUTGlhcXJqcGlkTktubVk2cFN5Rlp1eUJsbk5LekJFZmVZWkNPY0diYmczT0pZM09BSmUybUEtNDQ3N1NkU2tIV09yREwxYi1zS1BxSkc0UTROVS01Y01LR091OE1HSnhNTEFYb1czblp3aWloSnlGU0FIMkE2WUMtLXNEbEVoRk1QRmQyQ2tnOUJB0gGyAUFVX3lxTFBCSDFiMVM0aEhzanpFLWUwcm5JQTZFZ0w3ZmRXSFpJNk9TUVJ6QUpRM1dXc2pCZUNrOU8xMHFQaUoyS3BRWUlPWnk2YjFKdTF0a0xva0c5aFJmQzZlc202ODNQZWFxaVBWbnlZNUZwTVNtTVJFMFF0RnFmNUNTcGdxRnFOOXlPRjMtd0d3WXRsYzdMVjJBR3BpR040dC15VlNISTdCOEpIbkEtMTc0eHc5ZlE?oc=5,news,"12 days: How 2025 Iran blueprint trapped US, Israel in longer war - Al Jazeera",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['iran', 'war', 'israel']",2026-03-27 09:12:32 UTC
2026-03-17 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iran-update-special-report-march-17-2026/,osint,"Iran Update Special Report, March 17, 2026",Iran,Iran,Iran,,other,other,3,0.8,verified,['iran'],2026-03-27 09:12:32 UTC
