event_datetime_utc,source_name,source_url,source_type,claim_text,country,location_text,actor_1,actor_2,event_type,domain,severity_score,confidence_score,information_status,tags,last_updated_at
2026-02-28 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-cruise-missiles-and-drones-launched-at-saudi-arabia-between-february-28-2026-and-march-18-2026/,osint,"Iranian Ballistic Missiles, Cruise Missiles, and Drones Launched at Saudi Arabia between February 28, 2026 and March 18, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['missile', 'drone', 'iran']",2026-03-26 19:04:12 UTC
2026-02-28 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-cruise-missiles-and-drones-launched-at-the-united-arab-emirates-between-february-28-2026-and-march-18-2026/,osint,"Iranian Ballistic Missiles, Cruise Missiles, and Drones Launched at the United Arab Emirates between February 28, 2026 and March 18, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['missile', 'drone', 'iran']",2026-03-26 19:04:12 UTC
2026-03-01 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iranian-ballistic-missiles-and-drones-launched-at-saudi-arabia-between-march-1-2026-and-march-20-2026/,osint,"Iranian Ballistic Missiles and Drones Launched at Saudi Arabia Between March 1, 2026 and March 20, 2026",Iran,Iran,Iran,,missile_attack,military,8,0.9,verified,"['missile', 'drone', 'iran']",2026-03-26 19:04:12 UTC
2026-03-04 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMirAFBVV95cUxQa3FGNjBrZ2tVaHZGcElmc203STB2UWhqS2JpR3RsS19ha0hxVDd5ZXFyZmNEZXYwQ3dXWFV2enZoQXBnbFFqazM2ZkxhbGJZVkdyenJZenVSMWRhX0h6YkRfckwzUzNlZERKdnJvYl93VENLSFE4c3NiS3ZpVkUyZVVqSmVGLXFXT1M5MHZGUVdyTXZINkI3aThGTENrWU1XN1dYdmVXSUpVYW9n?oc=5,news,From Allies To Adversaries: The Iran–Israel Story - Brut,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran']",2026-03-26 19:04:12 UTC
2026-03-04 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPclpkaVUtclYzU3BDdTF3TmM1bHFpSkZLNjJZRmtZS3k1aTN0UER5aVdhbGg2NGpESVFnUFJvdDVWYXNIS1lFWUtMdU1zVUJ5dXlrSmx5V1dJZDNycFRyYUJKLXZkVER3NGw3VVFEMmlIREdCMURYQ2swSTNkUHo0Ri1PNFNiS2JVbzBmVE1HV0dxdUVMdjNKeVh4LXNmYlhqT1czYktaUTJMMi01R2ZyUnI5Zk42STQ1LVBWblplbkdWNUNyR2ZTbFJ4LXc5OWlya2M5cdIB2wFBVV95cUxOejZtd1piLXhOZ2pBWERiV3hyMGRKMlRLRnZDd3U3Z1c0WWhqUWlZakI4ZUM3RVNSdnZ0NE0xc3BvZGNTN1hmREVla2N1U3paTlVJalNIRExacjN5cW5OMEY3eUczMWVHQ2VhZzh0Qk9jOGQ1RUVacWxqbG95bUpvb3VRejhvR0NleFB3aUpvYUQ1NnBLMHRlVEo2QjlBdS12My1Xd1pNSjlEa3I1cDQ2Y19mYWVPSmhVcFh6dXhHQ2NrTE44eUtHUEE0cUFFNHRwNkdmX0RhVkdUTGs?oc=5,news,Iran-Israel war: What has happened so far - The Hindu,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'war']",2026-03-26 19:04:12 UTC
2026-03-07 08:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPLUR5NElJWFJjSVg4WXJFS2ljM1FXV1EtNTBnNUNtT3p3NDNNVTdNOEZXYnR0NDlRTnMyc09jNWFtWkQ1bE0wLVAzWlBtVzNYQkcwdlo4aEJfWEFkVHNIOHdiRXlvYU9RckFSYmx2MUw4TDBSY2FFTXBnRnR0Y1dROFZfUlAwZEw5dmRScFFSbldvMnV0MVJkQWlNbURYX1NTY3RRZXFBei1PVURNTHEzNTJYMzdUVHZWc0tIUGktYVZtMnd4UmFoMnV6VjRMaWZ4WnRORUVaaU9iYy01Skl4UEtNRdIB8AFBVV95cUxObFpzSmtBZ0tmeHVQbjY2RUdVZHdjUnVYRXB2aEtaZmVwUkpuNGkwQVJtWGlmOWNBbTYwNFFsamZQNndEdGFMOFE4LVlXYkpmdFFDdnFuekFSTUtGNFoydS0yc25QdUl4UXh0Ym5IdUFCWWQ4SzlkWlRwZ2hTZE5Ub3BVdmNUUjFNUHRCeEQwQzFGMXdrV0UxT0Y4NE5MTkh0TGRPeXFMSm8zc1VmRU05VVh5RE1mdmRGUGpJWnF4Y2hBbkpTcnp1aTVSN1RtLWNhTTAtbVJkY2pST29zMEhUQlZsLVhOSm9EZnNVRFBYQjk?oc=5,news,"Iran-Israel conflict heightens risks to India’s energy security, inflation and fiscal stability: Government review - Down To Earth",Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'conflict']",2026-03-26 19:04:12 UTC
2026-03-10 07:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMinwFBVV95cUxNWkJYckV1U051V0J0RXlsdVNIdDJBVkZROGp6aUstdWk3UFA4MEZGOTRqeVF5ZkZYZTJvaF95RWlzQTQzT3BYOTZ2LVBCN2VhemM1elpKOFhrVEJLVnFXN0VsaTZMV0k3WTFkRWlHNjVqWEgyVkI0Z0J2bm9wYmg3cXBRaUp3OWZzeTdCVG9SYjdPWS1PNUNLQW8tNjNJV1nSAaQBQVVfeXFMT2VTOHplSUtXMzZtRUxIVE1tczJVVUw4VUI5aUNXZngzdnR0Q1dERkpvNGM0d3FyQm00N3V3WGh4SEI3UC1qWHExeDhrX2JZNk54UC1jZ0w4TFdoQ2NJcDg1bHdGQXJRTjVWcWNYamxodHNKZTdpODlQdlA4Z3h1QW5OaFplMDN4d1lDa2tWbnFxalNXQkJneFBhN0FTV2dLR2xoZXo?oc=5,news,Iran war: What is happening on day 12 of US-Israel attacks? - Al Jazeera,Iran,Iran,Iran,Israel,other,military,8,0.5,unverified,"['israel', 'iran', 'attack', 'war']",2026-03-26 19:04:12 UTC
2026-03-13 07:00:00+00:00,Google News,https://news.google.com/rss/articles/CBMingFBVV95cUxQMWduRExjZXhMUjFuYjV4Zzc0LS11OHVKUEhXSlpUNUdFMm9MVGlJeFd5eGh1ZWpEWWhFNEdJX0tOVTlJbnZ5NmpBQ3dYeGNpSTBOSWtISUduak5WSHhfQUhQcHBKbVpLdG1IVi1ySWVGd05NM18yektrem1TM3ZvaV9xVjR2eC04cE9RZ3FZajNCZWFHNzBaS0hhSS02dw?oc=5,news,Iran’s War With Israel and the United States | Global Conflict Tracker - Council on Foreign Relations,Iran,Iran,Iran,Israel,other,other,3,0.5,unverified,"['israel', 'iran', 'conflict', 'war']",2026-03-26 19:04:12 UTC
2026-03-17 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/iran-update-special-report-march-17-2026/,osint,"Iran Update Special Report, March 17, 2026",Iran,Iran,Iran,,other,other,3,0.8,verified,['iran'],2026-03-26 19:04:12 UTC
2026-03-17 00:00:00+00:00,ISW,https://understandingwar.org/research/middle-east/hierarchy-of-the-iranian-armed-forces-as-of-800-am-et-on-march-17-2026/,osint,"Hierarchy of the Iranian Armed Forces as of 8:00 AM ET on March 17, 2026",Iran,Iran,Iran,,other,other,3,0.9,verified,['iran'],2026-03-26 19:04:12 UTC
